age,SPACC13
0,-18.55432
83,-19.70307
192,-19.18532
282,-19.46481
487,-18.11303
650,-17.0398
862,-17.95121
1040,-17.47101
1159,-17.03229
1203,-17.51879
1335,-17.45745
1852,-17.16418
2041,-17.37595
2246,-17.83275
2465,-19.1126
2525,-17.9141
2626,-18.32079
2828,-18.21979
2930,-19.08805
3032,-23.95867
3196,-19.35714
3298,-21.19696
3338,-19.79133
3480,-17.99639
3600,-18.70858
3709,-18.70393
3858,-18.66479
4070,-18.551
4300,-18.71251
4483,-18.45696
4573,-17.92234
5036,-19.08057
5514,-18.6971
6016,-18.22489
6520,-18.0013
7071,-17.30165
7675,-14.68187
8370,-14.99319
8798,-15.70483
8992,-14.53445
9139,-14.69535
9355,-15.51022
9379,-14.16893
9403,-13.99359
9500,-14.55985
9836,-14.73861
10078,-13.64437
10322,-14.713
10907,-14.3903
11496,-18.56868
12087,-15.07063
12743,-17.68998
13325,-18.62946
13958,-13.00536
14425,-14.57645
15024,-14.72893
16465,-14.56235
17136,-15.52737
19347,-14.42276
19868,-16.68547
22120,-18.75763
23846,-18.83882
24814,-16.45421
25777,-15.80074
26617,-16.73406
27823,-15.59999
29412,-17.92019
30625,-18.50059
31387,-22.7985
32060,-18.50251
32732,-21.0543
33401,-21.40344
34074,-21.80632
34664,-20.64364
35359,-25.26272
36118,-19.3719
37163,-22.14659
38389,-18.66269
39515,-19.27501
41135,-22.84168
42603,-21.92854
44072,-20.79151
45584,-22.23582
47049,-22.85272
48516,-17.95333
51632,-20.55244
53073,-25.94068
53998,-24.54631
55276,-24.33534
56455,-26.1354
57626,-25.48325
58639,-25.85881
59620,-24.70367
60591,-22.10285
61525,-27.28324
62421,-26.84711
63327,-21.64414
64241,-23.91992
64683,-22.04051
65219,-26.38701
66498,-25.77556
66955,-24.01993
67411,-23.69714
67866,-23.29175
67866,-23.22918
68322,-18.83104
68777,-23.05931
69230,-23.03671
69685,-22.88592
70148,-21.689
70608,-20.81809
71061,-24.46943
71513,-20.81362
71963,-19.69567
72415,-19.19129
72871,-21.88799
73327,-22.66903
73781,-19.88796
74235,-18.92286
74692,-20.16686
75150,-18.33237
75610,-20.77632
76068,-21.6606
76516,-22.1487
76875,-22.66471
78677,-23.64436
79089,-24.98073
79501,-26.08125
79913,-23.50575
80327,-18.67556
80748,-24.79587
81163,-26.13729
81555,-24.07919
81947,-18.94023
82338,-22.30679
83128,-23.37245
83525,-23.19766
83915,-23.6333
84305,-22.78704
84689,-21.6767
85448,-22.8703
85674,-20.3911
86427,-19.56133
87167,-19.66132
87860,-24.81247
88515,-20.70781
88871,-19.77377
89674,-19.2896
91369,-19.12063
92837,-17.73328
93408,-20.11668
94801,-17.61116
95461,-22.47684
96281,-14.83556
97095,-15.06555
97915,-15.8638
98732,-15.49165
99546,-15.23038
99959,-14.81859
101187,-18.82632
102009,-19.84146
103645,-20.35087
104458,-18.90766
105271,-19.53086
106089,-18.58327
106906,-19.91236
107717,-17.49
108535,-19.20012
110581,-19.62654
110992,
111402,-23.21112
111812,-23.06479
112219,-19.09803
113846,-21.20889
114662,-22.3451
115482,-22.14652
116304,-20.66357
116957,-21.21563
117939,-18.61225
118347,-20.82862
118757,-19.74411
119166,-18.31401
119574,-18.88258
119981,-18.57867
120391,-18.3825
120802,-18.72217
121634,-18.75947
122046,-19.68796
122456,-17.37898
122867,-19.95662
123279,-16.67581
123688,-18.93555
124096,-19.64268
124500,-19.13723
125149,-20.24413
125479,-20.12246
125891,-15.21202
126707,-17.05265
127526,-19.75908
128347,-19.68045
129165,-19.72515
129981,-15.55119
131290,-16.5372
131616,-14.9003
132420,
132990,-13.9854
134551,-17.02304
135540,-18.58632
135954,-18.54344
136781,-19.83533
137598,-19.77193
138165,-19.48898
138984,-18.62141
140297,-18.40521
140873,-23.11083
141201,-19.81944
141769,-19.3468
142172,-17.3974
142745,-16.13242
143238,-20.07115
143816,-19.42778
144379,-16.10035
144704,-19.53674
145767,-20.97899
146009,-19.56121
146496,-21.05083
148041,-19.27754
148611,-17.95788
149428,-19.37887
150243,-21.84031
151069,-21.3686
153534,-19.91927
154026,-17.87613
