age,charpar
0,20277.12
188,21543.06696
382,34082.50925
595,49571.70923
772,58698.79994
951,45723.36339
1134,22985.97583
1317,29955.98848
1409,65460.77357
1502,59874.14481
1579,87011.11052
1787,85479.94225
1950,55246.80739
2193,50502.98304
2408,75314.75258
2623,57853.54775
2844,69888.69408
3065,101139.7771
3285,73919.83562
3512,46876.83729
3751,59730.69559
4065,42997.84768
4593,21939.11399
5106,25746.42593
5555,21441.10919
6072,28083.95372
6641,16915.10185
7151,12980.47171
7752,25082.33889
8994,21080.82537
9261,20441.82966
9501,31565.63429
9764,55628.84007
10005,391.0417087
10272,25679.2143
10790,1061.211783
11682,14173.19703
12383,12183.01019
12742,514.8270493
13113,312.0331788
13479,157.1057851
13836,47.5176134
14149,33.41573223
14439,53.50105971
14626,100.5625851
14944,11.39597427
15724,56.61987367
17396,127.9086045
18513,174.8544779
20592,20.237647
21072,37.03696565
22195,35.27957961
23002,45.88142558
23842,42.5449585
24326,95.14783159
24809,67.55086421
25387,163.627178
25762,103.0643687
26067,134.7927784
26597,54.11420449
27108,73.56201743
27812,31.14656073
28715,86.2332499
29419,36.24786436
30123,152.2304775
30624,41.44109599
31042,33.25630264
31294,61.20392105
31378,121.41513
31715,119.0136105
32047,160.6758522
32378,122.9400501
32711,92.25384048
33051,121.5881292
33391,93.32478632
33726,196.6564607
34060,97.20436346
34394,304.3859377
34647,110.7309756
34985,91.976665
35343,83.57443551
35722,431.5459896
36101,94.83214917
36633,36.41600797
36900,111.6616676
39542,42.19266393
40355,88.32724138
41167,36.77336131
41815,129.5032522
42623,11.52751283
43266,70.18912834
44077,68.32992628
44746,23.0587145
46416,23.11574339
47082,79.5004612
47902,33.94666551
48555,40.9831752
49382,22.59618161
50048,80.29880743
50871,35.38335299
51678,35.81802164
52320,32.05386561
54020,12.52769537
54600,12.29049296
55298,16.91631381
55886,15.32779051
56473,17.66904222
57059,13.83465315
57628,19.93073071
58135,16.18605495
59130,54.96068794
59621,12.05238559
60107,64.06038292
60591,20.03331215
61065,102.5026511
61534,18.86138108
61983,14.68845165
62433,16.74847919
62884,13.18755479
63335,10.43705433
63781,23.99885408
64049,17.28837569
64229,9.286123356
64684,23.43496985
64958,8.061921852
65768,8.685279264
66220,6.948942583
67399,9.000905398
67943,84.09583171
68305,119.951006
68757,79.84030837
69213,252.4757989
69669,131.4592451
70127,358.9446519
70583,446.5175631
71038,733.422292
71493,1063.366337
71947,1905.317308
72403,4150.611354
72863,2421.764706
73321,14408.61386
73772,2487.686094
74223,3442.004405
74680,3746.745858
75137,7333.919214
75596,9725.796943
76053,786.992008
76506,907.8563536
76777,589.6081331
77047,205.3847387
77846,146.8450165
78345,274.6180336
78763,176.9108753
79099,168.1025498
79517,83.56654858
79931,242.3221344
80345,110.9988705
80761,364.8097826
81173,144.2010145
81570,109.702396
81966,139.5317088
82356,147.5274726
82746,52.42844621
83138,133.4575955
83529,58.79851323
83917,371.8803227
84305,83.80354957
84691,362.7534049
85074,125.6613757
85447,421.9285714
85298,538.54
85522,85.9383378
85671,1057.16348
86045,4587.473262
86419,2240.814419
86794,3875.6
87169,6185.096154
87522,1574.171429
87869,9382.654867
88200,12857.60024
88717,25351.67411
88872,13947.78828
89246,105397.9676
89674,9556.459555
90099,10820.51887
90522,12773.74704
90945,16661.58205
91369,7937.022809
91778,13296.19926
92182,14415.81148
92510,9411.115619
92675,15249.44432
93417,13420.48162
94237,1791.093464
95054,1536.161369
95873,1092.933739
96699,1355.811366
97527,834.8592157
98353,196.3024193
99178,156.3129169
100002,166.668028
100741,97.69269231
100902,150.1310807
101633,152.6497902
102451,55.32956952
103268,66.0864137
104092,107.0202507
104915,46.96703506
105732,141.3157895
106549,211.1981707
107372,117.5912409
108193,205.665163
108844,393.2674992
109091,120.6797374
109827,1578.800774
110642,9172.836735
111052,5265.219512
111462,14229.56446
111872,4725.99631
112275,21843.73153
113090,7888.209501
113917,8343.902736
114735,18501.79141
115547,1704.362515
116357,18113.81918
117007,6065.577181
117251,4337.815574
117983,4253.998061
118798,4269.644172
119613,6895.829761
120431,1623.840589
121244,1827.479459
122048,2742.915488
122860,1528.866708
123676,1932.01107
124486,795.1702592
125142,2063.216759
125393,1917.703407
126140,10248.54911
126961,3900.109489
127784,888.4909091
128611,1615.867069
129439,2932.645631
130259,12252.26023
131076,2627.593158
131896,4965.209726
132721,21572.39879
133378,6879.917647
133622,366.9608262
134355,58.31999608
135170,17.45276206
135990,24.77132129
136815,17.56409409
137635,29.73885644
138460,32.10698734
139284,49.92511706
140106,3.668404007
140924,36.47765664
141579,91.92654477
141743,31.2854009
142237,46.47926484
142804,34.64583186
143295,524.3056624
143874,39.89008094
144450,42.00277255
144943,36.75569127
145517,21.88793256
