age,pcC4
0,57.5385
188,45.4545
382,45.7143
595,36.0996
772,36.9478
951,34.8739
1134,34.1564
1317,44.9782
1409,45.4955
1502,35.5263
1579,43.4783
1787,40.5286
1950,42.9825
2193,49.1453
2408,49.0119
2623,53.7445
2844,51.8519
3065,63.6
3285,56.2212
3512,56.6964
3751,51.7241
4065,69.3966
4593,69.2857
5106,64.3411
5555,71.4286
6072,70.3226
6641,64.5833
7151,69.8745
7752,70.1987
8994,84.2308
9261,84.5878
9501,85.3846
9764,86.1925
10005,74.2857
10272,85.8238
10790,83.4101
11682,84.127
12383,76.555
12742,93.75
13113,67.9688
13479,73.3333
13836,71.6049
14439,54.1176
14944,21.1055
17396,53.271
18513,74.7788
20592,85.5072
21072,91.5033
22195,79.8742
23002,86.8217
23842,81.5
24326,90.2857
24809,81.2155
25387,92.1875
25762,89.3617
26067,96.4029
26597,89.9408
27108,92.9348
27812,88.601
28715,89.4444
29419,84.7134
30123,92
30624,91.9355
31042,91.573
31294,83.9161
31378,78.836
31715,92.3913
32047,74.0541
32378,93.1677
32711,84.106
33051,88.5
33391,80.7882
33726,90.1408
34060,84.3137
34394,95.6757
34647,91.2162
34985,96.8944
35343,88.1356
36101,92.8571
36900,90
39542,88.6486
40355,92.3497
41167,95.098
41815,89.7143
42623,92.5532
43266,91.3295
44411.5,88.5714
46749,82.1429
48228.5,89.9225
50048,88.4956
51999,81.3008
54310,43.9252
55592,60.7843
56766,68.6275
57881.5,66.6667
59621,72.7273
61065,61.7021
62433,65.9091
63781,62.7907
64229,48.7805
64958,68.1818
67399,72
68305,97.6744
68757,64.2857
69213,96.4286
69669,92.8934
70127,94.2408
70583,91.4729
71038,91.1765
71493,91.1348
71947,92.6724
72403,84.8993
72863,96.6387
73321,93.0556
73772,93.401
74223,92.0863
74680,94.1799
75137,88.7931
75596,98.0392
76053,92.4399
76506,96.2963
76777,97.2881
77047,96.7153
77846,92.4731
78345,95.0673
78763,92.9204
79099,98.5
79517,93.2127
79931,93.75
80345,90.625
80761,95.4774
81173,95.1662
81570,96.6019
81966,98.2993
82356,99.2
82746,96.1938
83138,97.9058
83529,85.5769
83917,83.0508
84305,84.083
84691,77.4194
85074,41.0714
85447,84.878
85298,74.2424
85522,78.0374
85671,82.9384
86045,74.6032
86419,69.4444
86794,58.0508
87169,46.1538
87522,41.0628
87869,54.6667
88200,17.931
88717,62.8931
88872,63.253
89246,64.9718
89674,60.9375
90099,60.177
90522,64.7541
90945,58.9928
91369,48.6842
91778,63.1579
92182,75.8065
92510,76.1905
92675,81.5217
93417,92.5581
94237,90.0552
95054,85.2535
95873,83.5294
96699,81.9905
97527,88.3721
98353,85.5814
99178,86.9955
100002,77.095
100741,88.1773
100902,73.8372
101633,87.3096
102451,82.6087
103268,86.7647
104092,78.8018
104915,84.3137
105732,85.4626
106549,85.7143
107372,90.367
108193,91.6256
108844,86.3248
109091,95.814
109827,97.1193
110642,37.5
111052,40.5556
111462,42.5287
111872,2.8169
112275,56.2914
113090,80.8511
113917,57.6389
114735,65.1163
115547,60.4938
116357,63.2653
117007,45.9459
117251,60
117983,50.6024
118798,48.6842
119613,45.2055
120431,59.8291
121244,77.4011
122048,84.8168
122860,87.8378
123676,90.411
124486,93.401
125142,91.5888
125393,88.9262
126140,46.5278
126961,80.198
127784,77.665
128611,72.6316
129439,58.7912
130259,28.9256
131076,37.3494
131896,47.973
132721,88.4817
133378,92.4242
133622,96.6667
134355,93.5484
135170,85.2632
135990,89.7959
136815,78.1609
138047.5,89.5238
139695,34.6154
141251.5,65.4206
141743,76.9231
142237,65.5172
142804,70.3297
143295,90.678
143874,89.011
144450,93.2039
144943,98.3957
145517,97.1429
